STNAME,year_start,year_end,variable,control,population,query,wt_var,url
SOUTH DAKOTA,2004,2005,ABODANL,NONE,"1,000",4,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DSOUTH+DAKOTA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
TENNESSEE,2004,2005,ABODANL,NONE,"34,000",4,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DTENNESSEE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
TEXAS,2004,2005,ABODANL,NONE,"110,000",4,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DTEXAS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
UTAH,2004,2005,ABODANL,NONE,"33,000",4,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DUTAH&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
VERMONT,2004,2005,ABODANL,NONE,"3,000",4,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DVERMONT&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
VIRGINIA,2004,2005,ABODANL,NONE,"34,000",4,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DVIRGINIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WASHINGTON,2004,2005,ABODANL,NONE,"37,000",4,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DWASHINGTON&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WEST VIRGINIA,2004,2005,ABODANL,NONE,"14,000",4,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DWEST+VIRGINIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WISCONSIN,2004,2005,ABODANL,NONE,"24,000",4,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DWISCONSIN&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WYOMING,2004,2005,ABODANL,NONE,"4,000",4,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&filter=ABODANL%3D1%26STNAME%3DWYOMING&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALABAMA,2004,2005,ABODANL,ABODHER,"40,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DALABAMA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALASKA,2004,2005,ABODANL,ABODHER,"3,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DALASKA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARIZONA,2004,2005,ABODANL,ABODHER,"21,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DARIZONA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARKANSAS,2004,2005,ABODANL,ABODHER,"21,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DARKANSAS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CALIFORNIA,2004,2005,ABODANL,ABODHER,"132,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DCALIFORNIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
COLORADO,2004,2005,ABODANL,ABODHER,"30,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DCOLORADO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CONNECTICUT,2004,2005,ABODANL,ABODHER,"23,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DCONNECTICUT&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DELAWARE,2004,2005,ABODANL,ABODHER,"3,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DDELAWARE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DISTRICT OFCOLUMBIA,2004,2005,ABODANL,ABODHER,0,5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DDISTRICT+OF+COLUMBIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
FLORIDA,2004,2005,ABODANL,ABODHER,"71,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DFLORIDA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
GEORGIA,2004,2005,ABODANL,ABODHER,"38,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DGEORGIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
HAWAII,2004,2005,ABODANL,ABODHER,"4,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DHAWAII&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
IDAHO,2004,2005,ABODANL,ABODHER,"10,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DIDAHO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ILLINOIS,2004,2005,ABODANL,ABODHER,"30,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DILLINOIS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
INDIANA,2004,2005,ABODANL,ABODHER,"28,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DINDIANA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
IOWA,2004,2005,ABODANL,ABODHER,"3,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DIOWA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
KANSAS,2004,2005,ABODANL,ABODHER,"14,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DKANSAS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
KENTUCKY,2004,2005,ABODANL,ABODHER,"42,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DKENTUCKY&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
LOUISIANA,2004,2005,ABODANL,ABODHER,"59,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DLOUISIANA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MAINE,2004,2005,ABODANL,ABODHER,"6,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMAINE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MARYLAND,2004,2005,ABODANL,ABODHER,"27,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMARYLAND&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MASSACHUSETTS,2004,2005,ABODANL,ABODHER,"55,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMASSACHUSETTS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MICHIGAN,2004,2005,ABODANL,ABODHER,"57,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMICHIGAN&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MINNESOTA,2004,2005,ABODANL,ABODHER,"6,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMINNESOTA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MISSISSIPPI,2004,2005,ABODANL,ABODHER,"17,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMISSISSIPPI&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MISSOURI,2004,2005,ABODANL,ABODHER,"23,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMISSOURI&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MONTANA,2004,2005,ABODANL,ABODHER,"5,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DMONTANA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEBRASKA,2004,2005,ABODANL,ABODHER,"7,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNEBRASKA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEVADA,2004,2005,ABODANL,ABODHER,"10,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNEVADA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW HAMPSHIRE,2004,2005,ABODANL,ABODHER,"6,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNEW+HAMPSHIRE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW JERSEY,2004,2005,ABODANL,ABODHER,"26,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNEW+JERSEY&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW MEXICO,2004,2005,ABODANL,ABODHER,"12,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNEW+MEXICO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NEW YORK,2004,2005,ABODANL,ABODHER,"64,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNEW+YORK&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NORTH CAROLINA,2004,2005,ABODANL,ABODHER,"32,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNORTH+CAROLINA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
NORTH DAKOTA,2004,2005,ABODANL,ABODHER,"3,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DNORTH+DAKOTA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OHIO,2004,2005,ABODANL,ABODHER,"71,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DOHIO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OKLAHOMA,2004,2005,ABODANL,ABODHER,"29,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DOKLAHOMA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
OREGON,2004,2005,ABODANL,ABODHER,"15,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DOREGON&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
PENNSYLVANIA,2004,2005,ABODANL,ABODHER,"53,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DPENNSYLVANIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
RHODE ISLAND,2004,2005,ABODANL,ABODHER,"7,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DRHODE+ISLAND&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
SOUTH CAROLINA,2004,2005,ABODANL,ABODHER,"23,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DSOUTH+CAROLINA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
SOUTH DAKOTA,2004,2005,ABODANL,ABODHER,"1,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DSOUTH+DAKOTA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
TENNESSEE,2004,2005,ABODANL,ABODHER,"34,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DTENNESSEE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
TEXAS,2004,2005,ABODANL,ABODHER,"105,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DTEXAS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
UTAH,2004,2005,ABODANL,ABODHER,"32,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DUTAH&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
VERMONT,2004,2005,ABODANL,ABODHER,"3,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DVERMONT&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
VIRGINIA,2004,2005,ABODANL,ABODHER,"34,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DVIRGINIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WASHINGTON,2004,2005,ABODANL,ABODHER,"36,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DWASHINGTON&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WEST VIRGINIA,2004,2005,ABODANL,ABODHER,"14,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DWEST+VIRGINIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WISCONSIN,2004,2005,ABODANL,ABODHER,"24,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DWISCONSIN&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
WYOMING,2004,2005,ABODANL,ABODHER,"4,000",5,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODANL&control=ABODHER&filter=ABODANL%3D1%26ABODHER%3D0%26STNAME%3DWYOMING&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALABAMA,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DALABAMA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ALASKA,2004,2005,ABODHER,NONE,0,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DALASKA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARIZONA,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DARIZONA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ARKANSAS,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DARKANSAS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CALIFORNIA,2004,2005,ABODHER,NONE,"25,000",6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DCALIFORNIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
COLORADO,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DCOLORADO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
CONNECTICUT,2004,2005,ABODHER,NONE,"10,000",6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DCONNECTICUT&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DELAWARE,2004,2005,ABODHER,NONE,"2,000",6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DDELAWARE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
DISTRICT OFCOLUMBIA,2004,2005,ABODHER,NONE,"3,000",6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DDISTRICT+OF+COLUMBIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
FLORIDA,2004,2005,ABODHER,NONE,"13,000",6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DFLORIDA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
GEORGIA,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DGEORGIA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
HAWAII,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DHAWAII&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
IDAHO,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DIDAHO&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
ILLINOIS,2004,2005,ABODHER,NONE,"23,000",6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DILLINOIS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
INDIANA,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DINDIANA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
IOWA,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DIOWA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
KANSAS,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DKANSAS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
KENTUCKY,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DKENTUCKY&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
LOUISIANA,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DLOUISIANA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MAINE,2004,2005,ABODHER,NONE,"2,000",6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DMAINE&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MARYLAND,2004,2005,ABODHER,NONE,"3,000",6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DMARYLAND&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MASSACHUSETTS,2004,2005,ABODHER,NONE,"7,000",6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DMASSACHUSETTS&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MICHIGAN,2004,2005,ABODHER,NONE,"14,000",6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DMICHIGAN&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MINNESOTA,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DMINNESOTA&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
MISSISSIPPI,2004,2005,ABODHER,NONE,Suppressed,6,DASWT_1,https://rdas.samhsa.gov/#/survey/NSDUH-2004-2005-RD02YR?column=ABODHER&filter=ABODHER%3D1%26STNAME%3DMISSISSIPPI&results_received=FALSE&row=STNAME&run_chisq=FALSE&weight=DASWT_1
